Comment: sota
Params: hidden_dim = 128, num_layers = 2, dropout = 0.3, window_size = 250, stride = 25, batch_size = 512, mask_ratio = 0.15 lr = 0.001, weight_decay = 0.0001, num_epochs = 800 alpha = 10, beta = 0.001, gamma = 1 
Epoch: 0, train loss: 27.8301, train loss1: 2.3681, train loss2: 773.3684, train loss3: 3.3755, train acc1: 0.3188, train acc2: 0.0698
Train confusion matrix:
      0     1     2     3     4     5     6     7     8     9     10    11    12    13    14    15    16    17    18    19    20    21    22    23   24    25    26    27   28    29    30    31   32   33
0   0.72  0.01  0.00  0.00  0.02  0.02  0.00  0.04  0.00  0.02  0.00  0.01  0.00  0.03  0.01  0.00  0.02  0.00  0.00  0.00  0.01  0.00  0.01  0.00  0.0  0.01  0.00  0.00  0.0  0.00  0.06  0.00  0.0  0.0
1   0.03  0.70  0.01  0.00  0.00  0.05  0.01  0.04  0.03  0.02  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.04  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
2   0.04  0.18  0.63  0.00  0.00  0.02  0.00  0.00  0.01  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.03  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
3   0.02  0.01  0.00  0.48  0.08  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.00  0.05  0.07  0.00  0.02  0.00  0.02  0.08  0.09  0.00  0.00  0.03  0.0  0.01  0.00  0.00  0.0  0.00  0.01  0.00  0.0  0.0
4   0.10  0.02  0.00  0.01  0.24  0.05  0.00  0.00  0.00  0.29  0.02  0.01  0.00  0.04  0.03  0.00  0.00  0.00  0.01  0.02  0.11  0.00  0.02  0.00  0.0  0.01  0.00  0.00  0.0  0.00  0.01  0.00  0.0  0.0
5   0.02  0.13  0.00  0.00  0.01  0.49  0.14  0.03  0.01  0.08  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.05  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
6   0.01  0.08  0.00  0.00  0.00  0.23  0.54  0.04  0.04  0.01  0.00  0.02  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.01  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
7   0.03  0.03  0.00  0.00  0.00  0.01  0.01  0.74  0.05  0.00  0.00  0.02  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.0  0.08  0.00  0.00  0.0  0.00  0.02  0.00  0.0  0.0
8   0.02  0.11  0.02  0.00  0.00  0.03  0.05  0.09  0.41  0.00  0.00  0.14  0.00  0.00  0.00  0.00  0.00  0.11  0.00  0.00  0.00  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.01  0.00  0.0  0.0
9   0.09  0.00  0.00  0.00  0.14  0.05  0.00  0.00  0.00  0.65  0.00  0.00  0.00  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.02  0.00  0.01  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.02  0.00  0.0  0.0
10  0.05  0.01  0.00  0.01  0.14  0.01  0.00  0.01  0.00  0.14  0.17  0.00  0.00  0.11  0.03  0.00  0.02  0.00  0.00  0.02  0.16  0.00  0.00  0.01  0.0  0.05  0.00  0.01  0.0  0.00  0.04  0.00  0.0  0.0
11  0.03  0.07  0.04  0.00  0.00  0.02  0.00  0.03  0.06  0.00  0.00  0.67  0.00  0.00  0.00  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.01  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
12  0.11  0.15  0.03  0.00  0.01  0.15  0.01  0.01  0.01  0.03  0.00  0.07  0.04  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.38  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
13  0.01  0.00  0.00  0.02  0.01  0.00  0.00  0.01  0.00  0.00  0.02  0.00  0.00  0.46  0.07  0.00  0.00  0.00  0.01  0.02  0.07  0.00  0.00  0.00  0.0  0.13  0.00  0.02  0.0  0.00  0.16  0.00  0.0  0.0
14  0.03  0.00  0.00  0.08  0.05  0.00  0.00  0.01  0.00  0.01  0.02  0.00  0.00  0.22  0.23  0.00  0.00  0.00  0.01  0.04  0.14  0.00  0.00  0.02  0.0  0.06  0.00  0.01  0.0  0.00  0.07  0.00  0.0  0.0
15  0.01  0.00  0.00  0.03  0.01  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.34  0.07  0.00  0.01  0.00  0.00  0.02  0.03  0.00  0.00  0.01  0.0  0.17  0.00  0.05  0.0  0.00  0.21  0.00  0.0  0.0
16  0.01  0.00  0.00  0.01  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.82  0.00  0.00  0.01  0.01  0.04  0.00  0.01  0.0  0.01  0.00  0.00  0.0  0.00  0.02  0.00  0.0  0.0
17  0.01  0.07  0.01  0.00  0.00  0.01  0.03  0.03  0.24  0.00  0.00  0.12  0.00  0.00  0.00  0.00  0.00  0.46  0.00  0.00  0.00  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
18  0.00  0.00  0.00  0.04  0.07  0.00  0.00  0.00  0.00  0.02  0.01  0.00  0.00  0.07  0.07  0.00  0.00  0.00  0.46  0.12  0.06  0.00  0.00  0.02  0.0  0.02  0.00  0.01  0.0  0.00  0.01  0.00  0.0  0.0
19  0.02  0.02  0.00  0.05  0.13  0.04  0.00  0.00  0.00  0.06  0.00  0.00  0.00  0.04  0.05  0.00  0.00  0.00  0.04  0.46  0.04  0.00  0.00  0.01  0.0  0.01  0.00  0.00  0.0  0.00  0.01  0.00  0.0  0.0
20  0.03  0.00  0.00  0.01  0.04  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.05  0.01  0.00  0.00  0.00  0.00  0.00  0.75  0.00  0.02  0.00  0.0  0.05  0.00  0.01  0.0  0.00  0.02  0.00  0.0  0.0
21  0.01  0.03  0.00  0.00  0.00  0.03  0.04  0.01  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.28  0.00  0.00  0.01  0.00  0.54  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.02  0.01  0.0  0.0
22  0.08  0.07  0.01  0.00  0.02  0.06  0.00  0.01  0.00  0.02  0.00  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.68  0.00  0.0  0.00  0.00  0.00  0.0  0.00  0.00  0.00  0.0  0.0
23  0.02  0.02  0.00  0.17  0.02  0.00  0.00  0.01  0.00  0.04  0.02  0.00  0.00  0.16  0.08  0.00  0.01  0.00  0.08  0.07  0.05  0.00  0.00  0.16  0.0  0.03  0.00  0.02  0.0  0.00  0.04  0.00  0.0  0.0
24  0.00  0.01  0.00  0.00  0.01  0.00  0.00  0.02  0.00  0.00  0.01  0.00  0.00  0.16  0.01  0.00  0.00  0.00  0.00  0.00  0.03  0.00  0.00  0.00  0.0  0.62  0.00  0.05  0.0  0.00  0.06  0.00  0.0  0.0
25  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00  0.13  0.01  0.00  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.0  0.69  0.00  0.02  0.0  0.00  0.07  0.00  0.0  0.0
26  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.23  0.01  0.00  0.00  0.00  0.00  0.00  0.03  0.00  0.00  0.00  0.0  0.49  0.01  0.05  0.0  0.00  0.15  0.00  0.0  0.0
27  0.03  0.01  0.00  0.00  0.02  0.00  0.00  0.01  0.00  0.01  0.01  0.00  0.00  0.16  0.03  0.00  0.01  0.00  0.00  0.01  0.02  0.00  0.00  0.01  0.0  0.48  0.00  0.07  0.0  0.00  0.13  0.00  0.0  0.0
28  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.15  0.03  0.00  0.02  0.00  0.00  0.00  0.02  0.00  0.00  0.02  0.0  0.54  0.00  0.07  0.0  0.00  0.12  0.00  0.0  0.0
29  0.05  0.03  0.00  0.02  0.01  0.05  0.01  0.26  0.02  0.02  0.01  0.02  0.00  0.04  0.02  0.00  0.12  0.00  0.00  0.02  0.04  0.05  0.00  0.01  0.0  0.02  0.00  0.01  0.0  0.01  0.16  0.01  0.0  0.0
30  0.06  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00  0.01  0.00  0.00  0.00  0.12  0.01  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.0  0.05  0.00  0.01  0.0  0.00  0.66  0.00  0.0  0.0
31  0.06  0.02  0.00  0.00  0.00  0.05  0.09  0.16  0.00  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.03  0.00  0.00  0.01  0.00  0.20  0.01  0.00  0.0  0.01  0.00  0.00  0.0  0.00  0.13  0.19  0.0  0.0
32  0.03  0.00  0.00  0.01  0.01  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.00  0.15  0.02  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.0  0.02  0.00  0.01  0.0  0.00  0.73  0.00  0.0  0.0
33  0.01  0.00  0.00  0.01  0.00  0.00  0.01  0.02  0.00  0.00  0.00  0.00  0.00  0.03  0.00  0.01  0.06  0.00  0.00  0.00  0.00  0.58  0.00  0.00  0.0  0.03  0.00  0.00  0.0  0.01  0.24  0.00  0.0  0.0
Train confusion matrix:
     0     1    2    3    4    5     6    7     8    9    10   11   12   13   14   15    16   17   18   19    20    21    22   23   24    25   26    27   28   29   30   31   32   33
0   0.0  0.09  0.0  0.0  0.0  0.0  0.01  0.0  0.01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.02  0.0  0.0  0.0  0.41  0.11  0.26  0.0  0.0  0.07  0.0  0.03  0.0  0.0  0.0  0.0  0.0  0.0
