Comment: sota
Params: hidden_dim = 128, num_layers = 2, dropout = 0.3, window_size = 250, stride = 25, batch_size = 512, mask_ratio = 0.15 lr = 0.001, weight_decay = 0.0001, num_epochs = 800 alpha = 10, beta = 0.001, gamma = 1 
Epoch: 0, train loss: 27.8242, train loss1: 2.3627, train loss2: 773.4181, train loss3: 3.4233, train acc1: 0.3194, train acc2: 0.0638
Train confusion matrix:
      0     1     2     3     4     5     6     7     8     9     10    11    12    13    14   15    16    17    18    19    20    21    22    23   24    25   26    27   28    29    30    31   32   33
0   0.50  0.01  0.00  0.00  0.01  0.01  0.00  0.06  0.01  0.02  0.05  0.01  0.00  0.01  0.00  0.0  0.02  0.00  0.00  0.00  0.05  0.00  0.15  0.00  0.0  0.01  0.0  0.00  0.0  0.00  0.06  0.00  0.0  0.0
1   0.00  0.53  0.01  0.00  0.00  0.05  0.01  0.05  0.11  0.01  0.00  0.07  0.00  0.00  0.00  0.0  0.00  0.04  0.00  0.00  0.00  0.00  0.10  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.00  0.00  0.0  0.0
2   0.00  0.17  0.09  0.00  0.00  0.01  0.00  0.00  0.14  0.00  0.00  0.44  0.00  0.00  0.00  0.0  0.00  0.02  0.00  0.00  0.01  0.00  0.11  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.00  0.00  0.0  0.0
3   0.00  0.01  0.00  0.53  0.01  0.00  0.00  0.00  0.00  0.01  0.02  0.01  0.00  0.03  0.03  0.0  0.01  0.00  0.02  0.05  0.17  0.00  0.01  0.08  0.0  0.01  0.0  0.00  0.0  0.00  0.01  0.00  0.0  0.0
4   0.05  0.04  0.00  0.02  0.05  0.13  0.00  0.00  0.01  0.21  0.05  0.00  0.00  0.02  0.01  0.0  0.00  0.00  0.02  0.02  0.19  0.00  0.14  0.01  0.0  0.01  0.0  0.00  0.0  0.00  0.02  0.00  0.0  0.0
5   0.01  0.11  0.00  0.00  0.00  0.47  0.15  0.03  0.05  0.02  0.00  0.02  0.00  0.00  0.00  0.0  0.00  0.01  0.00  0.00  0.00  0.00  0.11  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.00  0.00  0.0  0.0
6   0.01  0.05  0.00  0.00  0.00  0.20  0.49  0.06  0.10  0.00  0.00  0.02  0.00  0.00  0.00  0.0  0.00  0.03  0.00  0.00  0.00  0.00  0.03  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.00  0.00  0.0  0.0
7   0.01  0.02  0.00  0.00  0.00  0.01  0.01  0.72  0.06  0.00  0.01  0.02  0.00  0.01  0.01  0.0  0.00  0.00  0.00  0.00  0.03  0.00  0.01  0.00  0.0  0.04  0.0  0.03  0.0  0.00  0.01  0.00  0.0  0.0
8   0.01  0.02  0.00  0.00  0.00  0.01  0.02  0.12  0.62  0.00  0.00  0.09  0.00  0.00  0.00  0.0  0.00  0.08  0.00  0.00  0.00  0.00  0.02  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.01  0.00  0.0  0.0
9   0.03  0.01  0.00  0.00  0.04  0.14  0.00  0.00  0.00  0.61  0.03  0.00  0.00  0.00  0.00  0.0  0.00  0.00  0.01  0.01  0.03  0.00  0.07  0.00  0.0  0.00  0.0  0.00  0.0  0.00  0.02  0.00  0.0  0.0
